no,name,rank,family,size
1,スライム,F,スライム,S
2,ドラゴンキッズ,F,ドラゴン,S
3,ズッキーニャ,F,自然,S
4,ももんじゃ,F,魔獣,S
5,おばけキャンドル,F,物質,S
6,おおめだま,F,悪魔,S
7,メラゴースト,F,ゾンビ,S
8,からくりエッグ,F,物質,S
9,リーファ,F,スライム,S
10,コドラ,F,ドラゴン,S
11,カバシラー,F,自然,S
12,いたずらもぐら,F,魔獣,S
13,わらいぶくろ,F,物質,S
14,ドラキー,F,悪魔,S
15,マンドラ,F,スライム,S
16,ゴースト,F,ゾンビ,S
17,タマゴロン,F,スライム,S
18,リザードキッズ,F,ドラゴン,S
19,くしざしツインズ,F,自然,S
20,アントベア,F,魔獣,S
21,どろにんぎょう,F,物質,S
22,リップス,F,悪魔,S
23,きりかぶおばけ,F,ゾンビ,S
24,スライムツリー,F,スライム,S
25,とさかへび,F,ドラゴン,S
26,ピッキー,F,自然,S
27,ファーラット,F,魔獣,S
28,ネジまきどり,F,物質,S
29,おにこぞう,F,悪魔,S
30,エビルシード,F,ゾンビ,S
31,バブルスライム,F,スライム,S
32,いばらドラゴン,F,ドラゴン,S
33,キャタピラー,F,自然,S
34,おおきづち,F,魔獣,S
35,モコッキー,F,魔獣,S
36,ばくだんベビー,F,物質,S
37,プークプック,F,悪魔,S
38,おばけきのこ,F,ゾンビ,S
39,ホイミスライム,F,スライム,S
40,アルゴリザード,F,ドラゴン,S
41,ぐんたいアリ,F,自然,S
42,ポンポコだぬき,F,魔獣,S
43,ブリザード,F,物質,S
44,ヘルボックル,F,悪魔,S
45,アニマルゾンビ,F,ゾンビ,S
46,はねスライム,F,スライム,S
47,デンデン竜,F,ドラゴン,S
48,はなカワセミ,F,自然,S
49,おおがらす,F,自然,S
50,イエティ,F,魔獣,S
51,ベロゴン,F,ドラゴン,S
52,シャイニング,F,自然,S
53,かまっち,F,魔獣,S
54,メーダ,F,物質,S
55,プチット族,F,悪魔,S
56,ドロル,F,ゾンビ,S
57,ガップリン,F,スライム,S
58,ドラゴスライム,F,スライム,S
59,リザードフライ,F,自然,S
60,キリキリバッタ,F,魔獣,S
61,じんめんガエル,F,物質,S
62,ガオン,F,悪魔,S
63,シーメーダ,F,ゾンビ,S
64,スモールグール,F,スライム,S
65,エテポンゲ,F,ドラゴン,S
66,ポイズンリザード,F,自然,S
67,ミノーン,F,魔獣,S
68,ナスビナーラ,F,物質,S
69,キャットフライ,F,悪魔,S
70,あおバチ騎兵,F,ゾンビ,S
71,マドハンド,F,スライム,S
72,シャーマン,F,ドラゴン,S
73,ミイラおとこ,F,自然,S
74,スライムファング,F,スライム,S
75,スノードラゴン,F,ドラゴン,S
76,おおにわとり,F,悪魔,S
77,スカルガルー,F,ゾンビ,S
78,ミステリドール,F,スライム,S
79,コサックシープ,F,ドラゴン,S
80,ミストウィング,F,自然,S
81,いっかく竜,F,ドラゴン,S
82,あばれうしどり,F,物質,S
83,ベビーパンサー,F,悪魔,S
84,ばくだんいわ,F,ゾンビ,S
85,ブッチョマン,F,スライム,S
